Drug_Name,Category,Dosage_Form,Strength,Manufacturer,Indication,Classification
Warfarin,Antifungal,Suppository,250mg,AstraZeneca,Edema and hypertension,Prescription
Gabapentin,Thyroid Hormone,Sublingual Tablet,400mcg,Eli Lilly,Heart attack and stroke prevention,Prescription
Lidocaine Cream,Acne Treatment,Lozenge,125mg,P&G,Insomnia and sleep aid,Over-the-Counter
Fluoxetine,Anxiolytic/Benzodiazepine,Topical Solution,150mg,Abbott,High cholesterol management,Prescription
Azithromycin,Antibiotic,Extended Release Tablet,25mg,AstraZeneca,GERD and peptic ulcer disease,Prescription
Gabapentin,Bronchodilator,Patch,25mg,Bristol-Myers Squibb,Fungal infections treatment,Prescription
Acetaminophen,Topical Antibiotic,Capsule,150mg,Unilever,Minor cuts and skin protection,Over-the-Counter
Escitalopram,Diuretic,Suppository,0.5mg,AstraZeneca,Epilepsy and neuropathic pain,Prescription
Alprazolam,Antidepressant/SSRI,Inhaler,75mg,Novartis,Heart attack and stroke prevention,Prescription
Alprazolam,Thyroid Hormone,Topical Solution,50mcg,GlaxoSmithKline,Hypertension and heart failure,Prescription
Losartan,Antibiotic,Patch,400mcg,Merck,Anxiety and panic disorders,Prescription
Loperamide,Cough Suppressant,Spray,20mg,Prestige Brands,Constipation relief,Over-the-Counter
Bismuth Subsalicylate,Skin Protectant,Powder,200mg,GSK,Fungal skin infections,Over-the-Counter
Aspirin,Topical Corticosteroid,Lozenge,400mg,Johnson & Johnson,Cough suppression,Over-the-Counter
Guaifenesin,Antiplatelet,Liquid,5%,Prestige Brands,Acne treatment,Over-the-Counter
Trimethoprim,Anticoagulant,Topical Solution,20mg,Amgen,Hypertension and heart failure,Prescription
Azithromycin,Diuretic,Nasal Spray,100mcg,Gilead Sciences,Heart attack and stroke prevention,Prescription
Clopidogrel,Antibiotic,Suppository,100mg,Bristol-Myers Squibb,Asthma and allergic rhinitis,Prescription
Simethicone,Laxative,Drops,400mg,Pfizer,Chest congestion and mucus relief,Over-the-Counter
Doxycycline,Antiplatelet,Nasal Spray,100mcg,Johnson & Johnson,Hypothyroidism treatment,Prescription
Lisinopril,Leukotriene Inhibitor,Nasal Spray,2mg,AstraZeneca,Bacterial infections treatment,Prescription
Oxycodone,Calcium Channel Blocker,Capsule,1mg,Abbott,Asthma and allergic rhinitis,Prescription
Clindamycin,Bronchodilator,Suppository,50mg,GlaxoSmithKline,Hypertension and angina,Prescription
Loratadine,Skin Protectant,Ointment,150mg,GSK,Minor wound infection prevention,Over-the-Counter
Alprazolam,Beta Blocker,Patch,50mcg,Boehringer Ingelheim,Inflammation and autoimmune disorders,Prescription
Warfarin,Corticosteroid,Capsule,100mcg,AstraZeneca,Anxiety and panic disorders,Prescription
Bacitracin,Acne Treatment,Patch,325mg,P&G,Cough suppression,Over-the-Counter
Montelukast,ARB,Liquid,5mg,Sanofi,Hypertension management,Prescription
Pseudoephedrine,Cough Suppressant,Drops,50mg,P&G,Acne treatment,Over-the-Counter
Meclizine,Laxative,Cream,325mg,Sanofi,Fungal skin infections,Over-the-Counter
Alprazolam,Antidiabetic,Topical Solution,25mg,Roche,Anxiety and panic disorders,Prescription
Azithromycin,Antifungal,Injection,1mg,GlaxoSmithKline,Hypertension and angina,Prescription
Amoxicillin,Antiplatelet,Tablet,0.5mg,Roche,GERD and peptic ulcer disease,Prescription
Loperamide,Skin Protectant,Gel,5mg,GSK,Nasal congestion relief,Over-the-Counter
Prednisone,ARB,Suppository,1mg,Pfizer,Anxiety and panic disorders,Prescription
Clopidogrel,Beta Blocker,Sublingual Tablet,200mcg,Abbott,Hypertension and heart failure,Prescription
Lisinopril,Antibiotic,Sublingual Tablet,20mg,Sanofi,Hypertension and heart failure,Prescription
Lisinopril,Antidepressant/SSRI,Injection,0.25mg,Sanofi,Inflammation and autoimmune disorders,Prescription
Sertraline,Statin,Extended Release Tablet,10mg,Abbott,Depression and anxiety disorders,Prescription
Dextromethorphan,Antiflatulent,Lozenge,200mg,Bayer,Nasal congestion relief,Over-the-Counter
Alprazolam,Antifungal,Capsule,75mg,GlaxoSmithKline,Type 2 diabetes management,Prescription
Meclizine,Antiplatelet,Drops,200mg,3M Healthcare,Constipation relief,Over-the-Counter
Dexamethasone,Antifungal,Injection,200mg,GlaxoSmithKline,High cholesterol management,Prescription
Warfarin,Corticosteroid,Extended Release Tablet,75mg,Novartis,Asthma and bronchospasm,Prescription
Atorvastatin,Corticosteroid,Suppository,5mg,Eli Lilly,Anxiety and panic disorders,Prescription
Oxycodone,Antidiabetic,Suppository,1000mg,Bristol-Myers Squibb,Asthma and bronchospasm,Prescription
Bismuth Subsalicylate,Expectorant,Chewable Tablet,1%,GSK,Skin inflammation and itching,Over-the-Counter
Trimethoprim,Beta Blocker,Extended Release Tablet,10mg,Pfizer,Asthma and bronchospasm,Prescription
Warfarin,Anticonvulsant,Liquid,1000mg,Sanofi,Blood clot prevention,Prescription
Losartan,Calcium Channel Blocker,Topical Solution,100mg,Eli Lilly,GERD and peptic ulcer disease,Prescription
Clindamycin,Statin,Topical Solution,250mg,Eli Lilly,Hypertension and heart failure,Prescription
Dextromethorphan,Laxative,Capsule,100mg,Bayer,Heartburn and indigestion,Over-the-Counter
Ciprofloxacin,Antidepressant/SSRI,Tablet,5mg,Amgen,High cholesterol management,Prescription
Albuterol,ARB,Inhaler,250mg,GlaxoSmithKline,Hypertension management,Prescription
Clotrimazole,Antacid/PPI,Capsule,400mg,Bayer,Blood clot prevention,Over-the-Counter
Magnesium Hydroxide,Antiplatelet,Gel,500mg,Bayer,Heartburn and acid reflux,Over-the-Counter
Dextromethorphan,Skin Protectant,Liquid,2%,Bayer,Allergic rhinitis and hives,Over-the-Counter
Aluminum Hydroxide,Antifungal,Gel,200mg,Pfizer,Gas and bloating relief,Over-the-Counter
Zinc Oxide,Antidiarrheal,Cream,500mg,P&G,Insomnia and sleep aid,Over-the-Counter
Amoxicillin,ACE Inhibitor,Suppository,75mg,Johnson & Johnson,Anxiety and panic disorders,Prescription
Meclizine,Laxative,Cream,500mg,Prestige Brands,Gas and bloating relief,Over-the-Counter
Guaifenesin,Acne Treatment,Gel,5%,Unilever,Insomnia and sleep aid,Over-the-Counter
Gabapentin,Thyroid Hormone,IV Infusion,25mg,Sanofi,Bacterial infections treatment,Prescription
Levothyroxine,Calcium Channel Blocker,Topical Solution,1mg,Roche,Hypertension and angina,Prescription
Diphenhydramine,Antiflatulent,Patch,400mg,Bayer,Heartburn and acid reflux,Over-the-Counter
Pregabalin,Antifungal,Suppository,5mg,Eli Lilly,Anxiety and panic disorders,Prescription
Sertraline,Beta Blocker,Patch,2mg,Pfizer,Blood clot prevention,Prescription
Pseudoephedrine,Antidiarrheal,Cream,5%,3M Healthcare,GERD and peptic ulcer,Over-the-Counter
Levothyroxine,Opioid Analgesic,Patch,0.25mg,AstraZeneca,Hypertension and angina,Prescription
Ciprofloxacin,Leukotriene Inhibitor,Topical Solution,50mg,Sanofi,Fungal infections treatment,Prescription
Hydrocortisone Cream,Cough Suppressant,Ointment,250mg,Pfizer,Allergic rhinitis and hives,Over-the-Counter
Ibuprofen,Skin Protectant,Chewable Tablet,2%,Johnson & Johnson,Minor pain and itching relief,Over-the-Counter
Pantoprazole,Antibiotic,Topical Solution,200mcg,Roche,Type 2 diabetes management,Prescription
Ciprofloxacin,Diuretic,Liquid,75mg,GlaxoSmithKline,Moderate to severe pain management,Prescription
Metoprolol,PPI,IV Infusion,10mg,Merck,Inflammation and autoimmune disorders,Prescription
Amlodipine,Antibiotic,Extended Release Tablet,25mg,Pfizer,Edema and hypertension,Prescription
Pseudoephedrine,Topical Corticosteroid,Patch,325mg,3M Healthcare,GERD and peptic ulcer,Over-the-Counter
Docusate Sodium,Antiplatelet,Drops,20mg,Prestige Brands,Gas and bloating relief,Over-the-Counter
Salicylic Acid,Cough Suppressant,Tablet,1%,Reckitt,Chest congestion and mucus relief,Over-the-Counter
Fluoxetine,Anticoagulant,Liquid,0.25mg,Pfizer,Depression and anxiety disorders,Prescription
Bacitracin,Expectorant,Lozenge,50mg,Reckitt,Heartburn and acid reflux,Over-the-Counter
Azithromycin,Beta Blocker,Liquid,1000mg,Eli Lilly,Asthma and allergic rhinitis,Prescription
Ranitidine,Antacid,Patch,150mg,Unilever,Insomnia and sleep aid,Over-the-Counter
Atorvastatin,Anticonvulsant,IV Infusion,2mg,Eli Lilly,Depression and anxiety disorders,Prescription
Bismuth Subsalicylate,Analgesic,Gel,500mg,GSK,Gas and bloating relief,Over-the-Counter
Famotidine,Cough Suppressant,Liquid,50mg,Unilever,Cough suppression,Over-the-Counter
Montelukast,Antidepressant/SSRI,Tablet,1mg,Amgen,Edema and hypertension,Prescription
Guaifenesin,Antiplatelet,Cream,1%,Unilever,Heartburn and indigestion,Over-the-Counter
Trimethoprim,Diuretic,Inhaler,0.5mg,Amgen,Edema and hypertension,Prescription
Escitalopram,Anticoagulant,Capsule,200mg,Johnson & Johnson,Moderate to severe pain management,Prescription
Pregabalin,PPI,Liquid,50mg,Johnson & Johnson,Hypothyroidism treatment,Prescription
Losartan,Thyroid Hormone,Liquid,0.5mg,Pfizer,GERD and peptic ulcer disease,Prescription
Oxycodone,Antifungal,Capsule,500mg,Eli Lilly,Hypothyroidism treatment,Prescription
Bacitracin,Antacid/PPI,Cream,150mg,Sanofi,Skin inflammation and itching,Over-the-Counter
Bismuth Subsalicylate,Analgesic,Tablet,5%,Sanofi,Gas and bloating relief,Over-the-Counter
Naproxen,Antacid/H2 Blocker,Chewable Tablet,500mg,Sanofi,Constipation relief,Over-the-Counter
Clopidogrel,Opioid Analgesic,Tablet,25mg,Johnson & Johnson,Asthma and allergic rhinitis,Prescription
Diphenhydramine,Antiplatelet,Ointment,5mg,P&G,Chest congestion and mucus relief,Over-the-Counter
Naproxen,Antifungal,Spray,20mg,Pfizer,Heartburn and acid reflux,Over-the-Counter
Ibuprofen,Antihistamine,Chewable Tablet,325mg,Reckitt,Cough suppression,Over-the-Counter
Clopidogrel,Anxiolytic/Benzodiazepine,Capsule,200mg,Boehringer Ingelheim,High cholesterol management,Prescription
Metformin,Antifungal,Injection,100mg,Pfizer,Hypertension management,Prescription
Meclizine,Antiflatulent,Capsule,500mg,Johnson & Johnson,Pain relief and fever reduction,Over-the-Counter
Zinc Oxide,Antiemetic,Tablet,100mg,Pfizer,Chest congestion and mucus relief,Over-the-Counter
Miconazole,Antacid,Gel,200mg,GSK,Allergic rhinitis and hives,Over-the-Counter
Doxycycline,Beta Blocker,Liquid,5mg,Novartis,Edema and hypertension,Prescription
Ciprofloxacin,Antidiabetic,Suppository,2mg,Eli Lilly,Inflammation and autoimmune disorders,Prescription
Magnesium Hydroxide,Topical Antibiotic,Liquid,5mg,Novartis,Chest congestion and mucus relief,Over-the-Counter
Aspirin,Antiemetic,Capsule,150mg,P&G,Fungal skin infections,Over-the-Counter
Lidocaine Cream,Antacid/H2 Blocker,Tablet,200mg,Bayer,Cough suppression,Over-the-Counter
Doxycycline,Antidepressant/SSRI,Suppository,5mg,Sanofi,Fungal infections treatment,Prescription
Warfarin,Anticoagulant,IV Infusion,20mg,Bristol-Myers Squibb,Asthma and bronchospasm,Prescription
Meclizine,Cough Suppressant,Tablet,250mg,Novartis,Minor wound infection prevention,Over-the-Counter
Lidocaine Cream,Decongestant,Chewable Tablet,325mg,GSK,Insomnia and sleep aid,Over-the-Counter
Loratadine,Antiemetic,Gel,10mg,Bayer,Motion sickness and nausea,Over-the-Counter
Sertraline,Beta Blocker,Capsule,250mg,Merck,Hypertension management,Prescription
Sertraline,ACE Inhibitor,Patch,5mg,Sanofi,GERD and peptic ulcer disease,Prescription
Famotidine,Topical Corticosteroid,Lozenge,5mg,Reckitt,Insomnia and sleep aid,Over-the-Counter
Bacitracin,Antifungal,Drops,1%,3M Healthcare,Insomnia and sleep aid,Over-the-Counter
Pantoprazole,Calcium Channel Blocker,Topical Solution,500mg,Sanofi,Epilepsy and neuropathic pain,Prescription
Alprazolam,Antibiotic,Inhaler,2mg,Bristol-Myers Squibb,Hypertension and heart failure,Prescription
Lisinopril,Antiplatelet,Patch,50mcg,Pfizer,Moderate to severe pain management,Prescription
Loratadine,Expectorant,Liquid,125mg,3M Healthcare,Constipation relief,Over-the-Counter
Ranitidine,Cough Suppressant,Powder,100mg,Novartis,Minor cuts and skin protection,Over-the-Counter
Simethicone,Antacid,Cream,5%,Johnson & Johnson,Heartburn and acid reflux,Over-the-Counter
Naproxen,Topical Antibiotic,Spray,250mg,Reckitt,Gas and bloating relief,Over-the-Counter
Oxycodone,Antibiotic,Inhaler,50mcg,AstraZeneca,Epilepsy and neuropathic pain,Prescription
Oxycodone,Anticoagulant,Inhaler,5mg,Roche,Bacterial infections treatment,Prescription
Trimethoprim,Opioid Analgesic,Nasal Spray,20mg,Johnson & Johnson,Depression and anxiety disorders,Prescription
Clotrimazole,Decongestant,Gel,500mg,Chattem,Constipation relief,Over-the-Counter
Omeprazole,Sleep Aid,Spray,20mg,Prestige Brands,Heartburn and indigestion,Over-the-Counter
Hydrocortisone Cream,Antiflatulent,Ointment,125mg,3M Healthcare,Allergic rhinitis and hives,Over-the-Counter
Amlodipine,Antibiotic,IV Infusion,100mg,Johnson & Johnson,Edema and hypertension,Prescription
Acetaminophen,Acne Treatment,Liquid,20mg,Prestige Brands,Heartburn and indigestion,Over-the-Counter
Miconazole,Topical Anesthetic,Powder,200mg,Bayer,Gas and bloating relief,Over-the-Counter
Metoprolol,Anticoagulant,Nasal Spray,20mg,Amgen,Hypertension and angina,Prescription
Famotidine,Acne Treatment,Powder,20mg,Prestige Brands,Acne treatment,Over-the-Counter
Hydrocortisone Cream,Decongestant,Patch,5%,Prestige Brands,Blood clot prevention,Over-the-Counter
Montelukast,Antidiabetic,Sublingual Tablet,400mcg,Johnson & Johnson,Fungal infections treatment,Prescription
Sertraline,Calcium Channel Blocker,Tablet,25mg,Novartis,Hypertension and heart failure,Prescription
Atorvastatin,Opioid Analgesic,IV Infusion,250mg,Johnson & Johnson,Moderate to severe pain management,Prescription
Clotrimazole,Antidiarrheal,Chewable Tablet,150mg,P&G,Acne treatment,Over-the-Counter
Salicylic Acid,Antidiarrheal,Patch,100mg,Unilever,Minor wound infection prevention,Over-the-Counter
Warfarin,Opioid Analgesic,Tablet,1000mg,Johnson & Johnson,Edema and hypertension,Prescription
Oxycodone,Bronchodilator,IV Infusion,100mg,Pfizer,Hypertension management,Prescription
Atorvastatin,Bronchodilator,Nasal Spray,500mg,Novartis,Moderate to severe pain management,Prescription
Simethicone,Cough Suppressant,Spray,250mg,Novartis,Skin inflammation and itching,Over-the-Counter
Loperamide,Antacid/H2 Blocker,Gel,2%,Sanofi,Blood clot prevention,Over-the-Counter
Metoprolol,Antidepressant/SSRI,IV Infusion,150mg,GlaxoSmithKline,Asthma and allergic rhinitis,Prescription
Fluoxetine,Anxiolytic/Benzodiazepine,Suppository,50mg,Bristol-Myers Squibb,Asthma and bronchospasm,Prescription
Azithromycin,Beta Blocker,Extended Release Tablet,100mcg,AstraZeneca,High cholesterol management,Prescription
Clindamycin,Bronchodilator,Tablet,200mg,Novartis,Edema and hypertension,Prescription
Naproxen,Topical Antibiotic,Gel,200mg,3M Healthcare,Insomnia and sleep aid,Over-the-Counter
Escitalopram,Corticosteroid,Topical Solution,500mg,Boehringer Ingelheim,Heart attack and stroke prevention,Prescription
Escitalopram,Calcium Channel Blocker,Inhaler,100mcg,Sanofi,Anxiety and panic disorders,Prescription
Benzoyl Peroxide,Topical Corticosteroid,Cream,5%,Johnson & Johnson,Blood clot prevention,Over-the-Counter
Bacitracin,Cough Suppressant,Capsule,150mg,Novartis,Acne treatment,Over-the-Counter
Hydrocortisone Cream,Expectorant,Tablet,500mg,Novartis,GERD and peptic ulcer,Over-the-Counter
Bacitracin,Acne Treatment,Patch,2%,Pfizer,Minor pain and itching relief,Over-the-Counter
Clindamycin,Statin,Topical Solution,200mcg,Boehringer Ingelheim,Moderate to severe pain management,Prescription
Loratadine,Cough Suppressant,Tablet,400mg,GSK,Minor wound infection prevention,Over-the-Counter
Metronidazole,ACE Inhibitor,Sublingual Tablet,100mg,Johnson & Johnson,Asthma and allergic rhinitis,Prescription
Cetirizine,Skin Protectant,Chewable Tablet,5%,Unilever,Minor pain and itching relief,Over-the-Counter
Bismuth Subsalicylate,Sleep Aid,Spray,50mg,3M Healthcare,Skin inflammation and itching,Over-the-Counter
Metformin,Diuretic,Injection,200mcg,AstraZeneca,Bacterial infections treatment,Prescription
Amoxicillin,Calcium Channel Blocker,Suppository,75mg,Eli Lilly,Inflammation and autoimmune disorders,Prescription
Ciprofloxacin,Calcium Channel Blocker,Tablet,150mg,AstraZeneca,Hypothyroidism treatment,Prescription
Fluoxetine,Thyroid Hormone,Tablet,100mg,Gilead Sciences,Moderate to severe pain management,Prescription
Zinc Oxide,Antacid/PPI,Capsule,250mg,Chattem,Blood clot prevention,Over-the-Counter
Bacitracin,Antiemetic,Liquid,1%,Johnson & Johnson,Cough suppression,Over-the-Counter
Azithromycin,Statin,Injection,500mg,Eli Lilly,Hypothyroidism treatment,Prescription
Metoprolol,Anxiolytic/Benzodiazepine,Sublingual Tablet,50mcg,Merck,Type 2 diabetes management,Prescription
Pregabalin,Antidepressant/SSRI,Tablet,50mg,Amgen,Bacterial infections treatment,Prescription
Meclizine,Topical Antibiotic,Spray,1%,Chattem,Heartburn and indigestion,Over-the-Counter
Cetirizine,Decongestant,Drops,325mg,Sanofi,Fungal skin infections,Over-the-Counter
Aluminum Hydroxide,Acne Treatment,Ointment,150mg,Pfizer,Minor wound infection prevention,Over-the-Counter
Lisinopril,Antifungal,Tablet,10mg,Pfizer,Asthma and allergic rhinitis,Prescription
Salicylic Acid,Laxative,Chewable Tablet,100mg,Novartis,Nasal congestion relief,Over-the-Counter
Azithromycin,Thyroid Hormone,Tablet,10mg,Bristol-Myers Squibb,Edema and hypertension,Prescription
Magnesium Hydroxide,Antihistamine,Spray,10mg,Prestige Brands,Minor wound infection prevention,Over-the-Counter
Lidocaine Cream,Antidiarrheal,Cream,10mg,GSK,Minor pain and itching relief,Over-the-Counter
Dextromethorphan,Cough Suppressant,Patch,150mg,Unilever,Minor wound infection prevention,Over-the-Counter
Metronidazole,ARB,Sublingual Tablet,0.25mg,Bristol-Myers Squibb,Asthma and bronchospasm,Prescription
Neosporin,Antiemetic,Tablet,50mg,Novartis,Skin inflammation and itching,Over-the-Counter
Ranitidine,Antiflatulent,Ointment,100mg,Reckitt,Minor wound infection prevention,Over-the-Counter
Metoprolol,Anxiolytic/Benzodiazepine,IV Infusion,100mcg,Sanofi,Hypertension and angina,Prescription
Amoxicillin,Thyroid Hormone,Liquid,100mcg,Roche,Hypothyroidism treatment,Prescription
Docusate Sodium,Antiplatelet,Capsule,100mg,Prestige Brands,GERD and peptic ulcer,Over-the-Counter
Trimethoprim,Antidiabetic,Nasal Spray,50mg,GlaxoSmithKline,High cholesterol management,Prescription
Azithromycin,ARB,Patch,2mg,GlaxoSmithKline,High cholesterol management,Prescription
Ciprofloxacin,Corticosteroid,Capsule,5mg,Abbott,Hypertension and angina,Prescription
Oxycodone,Bronchodilator,Topical Solution,500mg,Roche,Depression and anxiety disorders,Prescription
Magnesium Hydroxide,Topical Anesthetic,Lozenge,100mg,Pfizer,Heartburn and acid reflux,Over-the-Counter
Bismuth Subsalicylate,Skin Protectant,Spray,125mg,Novartis,Acne treatment,Over-the-Counter
Pseudoephedrine,Antihistamine,Cream,50mg,Prestige Brands,Minor pain and itching relief,Over-the-Counter
Ranitidine,Antacid,Powder,5mg,Sanofi,GERD and peptic ulcer,Over-the-Counter
Aluminum Hydroxide,Decongestant,Capsule,5%,Novartis,Minor cuts and skin protection,Over-the-Counter
Gabapentin,Antidepressant/SSRI,Extended Release Tablet,25mg,Johnson & Johnson,Inflammation and autoimmune disorders,Prescription
Metronidazole,Antibiotic,Extended Release Tablet,2mg,Pfizer,Depression and anxiety disorders,Prescription
